20:
x	y
0.413	998.156
0.417	996.130
0.418	996.130
0.418	994.017
0.418	991.991
0.420	991.991
0.420	989.965
0.420	987.939
0.422	987.939
0.422	985.826
0.422	983.801
0.424	983.801
0.424	981.775
0.425	981.775
0.425	979.662
0.427	979.662
0.427	978.253
0.429	978.253
0.429	976.140
0.430	976.140
0.430	974.027
0.432	974.027
0.432	972.001
0.434	972.001
0.434	969.975
0.436	969.975
0.436	968.567
0.437	968.567
0.437	966.453
0.439	966.453
0.440	965.045
0.440	963.019
0.442	963.019
0.444	960.993
0.444	958.967
0.446	958.967
0.447	958.967
0.447	956.854
0.449	954.741
0.451	954.741
0.451	952.628
0.452	951.227
0.454	951.227
0.454	949.201
0.455	949.201
0.455	947.175
0.457	947.175
0.457	945.149
0.458	945.149
0.458	943.124
0.460	941.715
0.461	941.715
0.461	939.689
0.463	939.689
0.465	938.280
0.466	936.167
0.468	936.167
0.468	934.054
0.469	934.054
0.471	931.941
0.472	931.941
0.474	931.941
0.474	929.828
0.476	927.715
0.479	927.715
0.479	925.602
0.481	925.602
0.481	924.194
0.483	924.194
0.484	924.194
0.484	922.081
0.486	919.968
0.488	919.968
0.490	919.968
0.491	917.855
0.491	915.829
0.493	915.829
0.495	915.829
0.497	913.716
0.498	913.716
0.498	911.603
0.500	911.603
0.500	909.577
0.502	909.577
0.504	909.577
0.505	907.464
0.507	905.438
0.508	904.029
0.510	904.029
0.512	901.916
0.514	901.916
0.516	899.803
0.518	899.803
0.519	897.777
0.521	897.777
0.523	897.777
0.525	895.664
0.525	893.638
0.526	893.638
0.528	891.612
0.530	891.612
0.532	891.612
0.533	891.612
0.533	889.499
0.535	889.499
0.537	887.473
0.538	887.473
0.540	887.473
0.540	886.065
0.542	886.065
0.544	886.065
0.545	886.065
0.547	883.952
0.551	883.952
0.551	881.926
0.554	881.926
0.556	881.926
0.559	881.926
0.559	880.517
0.562	880.517
0.565	880.517
0.569	878.404
0.573	878.404
0.576	878.404
0.578	876.996
0.580	876.996
0.582	876.996
0.585	876.996
0.585	875.587
0.589	875.587
0.590	875.587
0.590	873.474
0.594	873.474
0.596	871.369
0.598	871.369
0.600	869.343
0.601	869.343
0.603	869.343
0.605	869.343
0.606	869.343
0.608	867.230
0.612	867.230
0.616	867.230
0.619	867.230
0.621	865.117
0.622	865.117
0.624	865.117
0.626	865.117
0.627	865.117
0.629	865.117
0.633	865.117
0.637	865.117
0.640	865.117
0.642	865.117
0.643	863.004
0.647	863.004
0.649	863.004
0.650	860.891
0.651	860.891
0.653	860.891
0.655	860.891
0.657	858.778
0.660	858.778
0.660	856.665
0.665	856.665
0.666	856.665
0.669	856.665
0.671	854.552
0.673	854.552
0.674	854.552
0.678	854.552
0.682	854.552
0.685	854.552
0.687	854.552
0.688	854.552
0.690	854.552
0.690	852.439
0.694	854.552
0.702	850.413
0.704	850.413
0.706	850.413
0.709	850.413
0.713	850.413
0.715	850.413
0.715	849.005
0.717	849.005
0.719	849.005
0.721	849.005
0.722	849.005
0.723	846.978
0.725	846.978
0.727	846.978
0.728	845.570
0.730	845.570
0.732	845.570
0.735	845.570
0.736	845.570
0.742	845.570
0.744	843.457
0.745	843.457
0.747	843.457
0.748	843.457
0.752	843.457
0.753	843.457
0.755	841.344
0.759	841.344
0.764	841.344
0.766	841.344
0.768	841.344
0.769	841.344
0.771	841.344
0.773	841.344
0.774	841.344
0.776	841.344
0.777	841.344
0.777	839.318
0.779	839.318
0.780	839.318
0.782	839.318
0.783	839.318
0.785	839.318
0.787	839.318
0.788	839.318
0.790	839.318
0.792	839.318
0.795	839.318
0.796	839.318
0.798	839.318
0.802	837.292
0.804	837.292
0.805	837.292
0.807	837.292
0.811	835.179
0.812	835.179
0.814	835.179
0.815	835.179
0.817	835.179
0.818	835.179
0.821	835.179
0.824	833.066
0.829	833.066
0.833	833.066
0.836	833.066
0.837	833.066
0.840	833.066
0.842	833.066
0.845	833.066
0.848	833.066
0.850	833.066
0.855	831.657
0.858	831.657
0.860	831.657
0.861	831.657
0.863	831.657
0.864	829.544
0.868	829.544
0.870	829.544
0.871	827.518
0.873	827.518
0.876	827.518
0.878	825.405
0.880	825.405
0.882	825.405
0.884	825.405
0.888	823.292
0.890	823.292
0.892	823.292
0.894	823.292
0.897	823.292
0.899	823.292
0.900	823.292
0.902	823.292
0.904	823.292
0.908	823.292
0.911	823.292
0.914	823.292
0.914	821.266
0.918	821.266
0.920	821.266
0.922	821.266
0.924	821.266
0.927	819.858
0.931	819.858
0.933	819.858
0.935	819.858
0.938	819.858
0.939	819.858
0.943	819.858
0.944	819.858
0.949	819.858
0.951	819.858
0.952	819.858
0.954	819.858
0.958	817.745
0.959	817.745
0.961	817.745
0.964	817.745
0.967	817.745
0.970	817.745
0.970	816.336
0.972	816.336
0.974	816.336
0.975	816.336
0.978	816.336
0.980	816.336
0.982	816.336
0.985	816.336
0.986	816.336
0.991	816.336
0.995	816.336
0.996	816.336
1.002	816.336
1.004	816.336
1.007	816.336

40:
x	y
0.142	703.509
0.139	707.648
0.139	709.056
0.137	709.056
0.137	711.082
0.137	713.108
0.137	715.134
0.136	715.134
0.136	717.247
0.136	718.656
0.136	720.682
0.136	722.708
0.136	724.734
0.134	724.734
0.134	726.847
0.134	728.873
0.134	730.281
0.132	730.281
0.132	732.394
0.132	733.803
0.130	735.916
0.130	737.325
0.128	737.325
0.128	739.438
0.128	740.846
0.128	742.872
0.128	744.898
0.128	746.924
0.128	748.333
0.128	749.741
0.128	753.176
0.128	755.202
0.128	756.611
0.128	758.011
0.128	760.037
0.127	760.037
0.127	762.063
0.127	763.472
0.127	765.498
0.126	767.611
0.126	769.637
0.126	771.663
0.126	773.071
0.124	773.071
0.124	774.480
0.124	776.506
0.122	778.532
0.122	782.758
0.122	784.784
0.122	786.810
0.122	788.218
0.120	788.218
0.120	789.627
0.120	791.653
0.120	793.679
0.120	795.088
0.119	795.088
0.119	797.201
0.119	799.227
0.119	802.044
0.119	804.070
0.117	806.183
0.117	808.209
0.117	809.617
0.117	811.026
0.117	813.052
0.117	815.078
0.117	817.104
0.117	819.130
0.117	820.538
0.115	820.538
0.115	821.947
0.115	823.973
0.115	825.999
0.113	825.999
0.113	828.025
0.111	829.434
0.111	831.459
0.109	831.459
0.109	833.486
0.109	835.511
0.109	837.537
0.108	837.537
0.108	841.059
0.108	843.085
0.108	844.494
0.108	846.519
0.106	846.519
0.106	848.632
0.106	850.658
0.106	852.684
0.104	852.684
0.104	854.710
0.104	856.736
0.102	856.736
0.102	858.762
0.102	860.788
0.102	862.814
0.101	862.814
0.101	864.927
0.101	866.336
0.101	868.362
0.099	868.362
0.099	869.770
0.099	871.796
0.097	871.796
0.097	873.909
0.097	875.935
0.097	877.961
0.097	879.370
0.097	881.396
0.097	882.804
0.097	884.213
0.097	886.239
0.097	887.648
0.097	889.056
0.097	891.082
0.097	892.491
0.095	892.491
0.095	893.892
0.095	895.918
0.095	897.326
0.095	899.352
0.095	901.378
0.095	903.404
0.095	904.813
0.095	906.221
0.095	908.247
0.095	909.656
0.095	911.065
0.095	913.091
0.095	914.499
0.095	916.525
0.095	917.934
0.095	919.342
0.093	919.342
0.093	920.751
0.093	922.160
0.093	924.186
0.093	925.594
0.093	927.003
0.093	929.029
0.093	930.438
0.093	931.846
0.093	933.872
0.093	935.281
0.093	937.307
0.093	938.716
0.093	940.124
0.093	942.150
0.093	943.559
0.093	945.585
0.093	947.611
0.093	949.637
0.093	951.662
0.093	953.071
0.093	955.097
0.093	957.123
0.092	957.123
0.092	959.149
0.092	961.175
0.092	962.584
0.092	964.609
0.092	966.635
0.092	968.044
0.092	969.453
0.092	971.479
0.092	972.887
0.092	974.913
0.092	976.322
0.092	977.731
0.092	979.757
0.092	981.165
0.092	983.191
0.092	985.217
0.092	986.626
0.092	988.652
0.092	990.060
0.092	991.469
0.092	993.495
0.092	994.904
0.090	994.904
0.090	996.312
0.090	998.338
0.145	699.212
0.148	689.612
0.148	687.586
0.150	687.586
0.150	685.473
0.150	683.447
0.152	683.447
0.152	681.421
0.153	681.421
0.153	679.308
0.153	677.282
0.155	677.282
0.155	675.874
0.157	673.761
0.157	671.735
0.159	669.709
0.160	669.709
0.162	665.570
0.162	663.544
0.164	663.544
